transition_id,domain,current_state,next_state,legacy_live_status_label,allowed_actor_roles,preconditions,required_documents,required_payment,validation_rules,database_changes,audit_event,rollback_correction_rule,source_reference,evidence_classification,compatibility_note
WF-01,candidate_lifecycle,NOT_REGISTERED,REGISTERED (step 1),Registration,"CONFIRMED legacy: role_id=101 Agent; role_id=104 Employee; role_id=106 Owner; INFERRED: role_id=109 Sub Agent via My Panel route; PROPOSED stable keys: candidate.create / panel.agent.candidate.create","CONFIRMED: agent_id or sub_agent_id must resolve to an active agent/sub-agent record; CONFIRMED: passport_no, mobile, email must be unique in candidates and users; INFERRED: class_group_id must exist and be active; PROPOSED: actor must have row-scope access to the target agent","INFERRED: none mandatory at creation; passport_file_path and photos may be provided optionally","CONFIRMED: none required at creation","CONFIRMED: name, mobile, email, passport_no required; CONFIRMED: code uniqueness enforced (generateCode); CONFIRMED: duplicate mobile/email/passport rejected at DB+app level; INFERRED: agent scope check; PROPOSED: Zod schema per field","CONFIRMED: INSERT candidates; CONFIRMED: INSERT users (role_id=102, candidate_id=FK, password='password' if empty — KNOWN SECURITY ISSUE); INFERRED: notifications to agent/sub-agent/owner","PROPOSED: workflow_event(aggregate=candidate_id, event=CANDIDATE_REGISTERED, actor, timestamp, before=null, after=status/class_group snapshot)","CONFIRMED: no automated rollback exists in legacy; PROPOSED: soft-delete candidate + linked user + compensating event; any financial impact must be assessed separately (none expected at creation)","src/app/Http/Controllers/Admin/VoyagerCandidatesController.php:store(); src/app/Http/Controllers/Admin/VoyagerMyPanelController.php:candidateStore(); src/app/Helpers/CommonClass.php:generateCode()","CONFIRMED code path; INFERRED precondition detail; PROPOSED target controls","Expose legacy label 'Registration' via compatibility adapter; imported candidates at step 1 default to REGISTERED"
WF-02,candidate_lifecycle,REGISTERED (step 1),PROFILE_CV (step 2),Profile Update/CV,"CONFIRMED: role_id=102 Candidate via My Panel profile update; CONFIRMED: role_id=101 Agent can edit candidate; INFERRED: role_id=104 Employee / role_id=106 Owner; PROPOSED stable key: candidate.profile.update","CONFIRMED: candidate exists with status A; CONFIRMED (code): cv_file_path JSON must be non-empty for step 2 to display; INFERRED: candidate must not be in a later stage already","CONFIRMED: at least one cv_file_path entry (CV/resume file); INFERRED: photos (full_photo_file_path, half_photo_file_path) expected; INFERRED: passport, NID/BID optional at this stage","CONFIRMED: none required","CONFIRMED (from VoyagerMyPanelController::profileUpdate): profile child records (language_list, expertise_list, skill_list, curricular_list, interest_list, attribute_list, educations, experiences, trainings) are deleted and re-inserted; INFERRED: no partial update — full profile replace","CONFIRMED: UPDATE candidates; CONFIRMED: DELETE + INSERT for each profile child table (languages, educations, experiences, etc.); INFERRED: file fields stored as JSON arrays","PROPOSED: workflow_event(event=PROFILE_UPDATED, actor, before_cv_count, after_cv_count)","CONFIRMED: no rollback in legacy — profile update overwrites previous values; PROPOSED: retain previous JSON snapshots as audit payload in workflow event; PROPOSED: restore from last known-good event on error","src/app/Http/Controllers/Admin/VoyagerMyPanelController.php:profileUpdate(); src/app/Http/Livewire/Login.php:20 (status check)","CONFIRMED code path; INFERRED document requirement; PROPOSED target controls","Label 'Profile Update/CV' exposed via adapter; liveStatus() checks cv_file_path JSON non-empty"
WF-03,candidate_lifecycle,PROFILE_CV (step 2),GROUP_ASSIGNED (step 3),Group Name,"CONFIRMED: role_id=104 Employee; role_id=106 Owner; INFERRED: role_id=101 Agent (admin side); PROPOSED: candidate.class_group.assign","CONFIRMED: candidate exists with status A; CONFIRMED: class_group_id must reference a valid class_groups row","INFERRED: none mandatory","INFERRED: none required at this step","CONFIRMED: class_group_id is required on create (VoyagerCandidatesController validation); INFERRED: group must be active","CONFIRMED: UPDATE candidates SET class_group_id; CONFIRMED: notifications sent to group via VoyagerNotificationsController","PROPOSED: workflow_event(event=CLASS_GROUP_ASSIGNED, actor, class_group_id, timestamp)","INFERRED: no legacy rollback; PROPOSED: compensating event CLASS_GROUP_CHANGED with old/new group IDs; no financial rollback expected","src/app/Http/Controllers/Admin/VoyagerCandidatesController.php:store()/update(); src/app/Helpers/CommonClass.php:liveStatus():567-568","CONFIRMED code path; INFERRED pre/post conditions","Label 'Group Name' via adapter; liveStatus() checks classGroup.name is set and not 'Rapid'"
WF-04,candidate_lifecycle,GROUP_ASSIGNED (step 3),INTERVIEW_GROUP (step 4),Interview,"CONFIRMED: role_id=104 Employee; role_id=106 Owner; INFERRED: role_id=101 Agent (limited); PROPOSED: candidate.class_group.assign","CONFIRMED: candidate has class_group_id set; CONFIRMED (code): next step triggered when class_group.name contains string 'Rapid'; INFERRED: group must be a Rapid/Interview designation group","INFERRED: none mandatory for group assignment","INFERRED: none required","CONFIRMED: group name must contain 'Rapid' for step 4 to be computed; INFERRED: same validation as WF-03 (group must exist and be active)","CONFIRMED: UPDATE candidates SET class_group_id to Rapid-type group; INFERRED: announcement/notification to group","PROPOSED: workflow_event(event=INTERVIEW_GROUP_ASSIGNED, actor, class_group_id, is_rapid=true)","INFERRED: no legacy rollback; PROPOSED: compensating event with previous class_group_id; no financial rollback","src/app/Helpers/CommonClass.php:liveStatus():564-565; VoyagerCandidatesController.php:update()","CONFIRMED code path (Rapid string check); INFERRED business rule for what 'Rapid' means","Label 'Interview' via adapter; liveStatus() checks classGroup.name contains 'Rapid'"
WF-05,candidate_lifecycle,INTERVIEW_GROUP (step 4),SELECTED (step 5),Selection,"INFERRED: role_id=104 Employee; role_id=106 Owner; CONFIRMED public path: Employer (role_id=105) via employer-candidate-add-remove web AJAX route; PROPOSED: candidate.selection.record","INFERRED: candidate has status A; INFERRED: interview/Rapid group must be assigned; CONFIRMED: employer_id, candidate_id, purpose required (VoyagerAjaxController:313-318)","INFERRED: none mandatory at selection record time","INFERRED: none required","CONFIRMED: employer_id, candidate_id, purpose are required in the employer toggle; CONFIRMED SCHEMA DRIFT: code checks status='A' filter on employer_candidates but DDL has no status column (dump lines 11364-11371 — column absent); INFERRED: candidate must not already be selected for same employer/purpose","CONFIRMED: INSERT employer_candidates(employer_id, candidate_id, purpose, created_at); CONFIRMED legacy toggle: if active row exists, sets status='I' and deletes — CONFIRMED DRIFT; INFERRED: INSERT selected_candidates for formal selection record; CONFIRMED BUG: liveStatus() never reads selected_candidates — step 5 is SKIPPED in legacy runtime","PROPOSED: workflow_event(event=CANDIDATE_SELECTED, actor, employer_id, purpose); PROPOSED: employer_candidates.status column must be added in new schema","CONFIRMED: legacy toggle physically deletes employer_candidates row (delete() called after status='I'); PROPOSED: soft-delete with deactivation event, never physical delete of a selection event; if wrongly selected, create SELECTION_REVOKED event","src/app/Http/Controllers/Admin/VoyagerAjaxController.php:310-354; src/app/Helpers/CommonClass.php:liveStatus():539-576 (selection not present); src/resources/views/candidates.blade.php; live_status INSERT step 5 in dump","CONFIRMED selection route and model; CONFIRMED liveStatus() gap; CONFIRMED DDL drift on status column; INFERRED business intent; PROPOSED corrections REQUIRE APPROVAL A03","CRITICAL: step 5 label 'Selection' exists in DB but is SKIPPED by liveStatus(). New system must add selected_candidates query to workflow engine AND add employer_candidates.status column. Backfill rule for legacy: REQUIRES APPROVAL A03"
WF-06,candidate_lifecycle,SELECTED (step 5),LABOUR_CONTRACT (step 6),Labour Contract,"CONFIRMED: role_id=104 Employee; role_id=106 Owner; INFERRED: role_id=108 Agency; PROPOSED: candidate.labour_contract.create","CONFIRMED: candidate has status A; INFERRED: selection (step 5) should precede but is not enforced in legacy code (liveStatus skips step 5); INFERRED: candidate is not already in a later stage","INFERRED: signed labour contract document; CONFIRMED: document_file_path stored as JSON in labour_contracts","INFERRED: none required","CONFIRMED: candidate_id required; CONFIRMED: expire_date stored; INFERRED: contract reference number unique per candidate","CONFIRMED: INSERT labour_contracts(candidate_id, ...); INFERRED: notifications to candidate/agent","PROPOSED: workflow_event(event=LABOUR_CONTRACT_RECORDED, actor, contract_id, expire_date)","INFERRED: no legacy rollback; PROPOSED: compensating event LABOUR_CONTRACT_VOIDED; no financial rollback expected unless a fee was tied; file must be retained in storage","src/app/Http/Controllers/Admin/VoyagerLabourContractController.php:store(); src/app/Helpers/CommonClass.php:labourStatus():490-503; src/app/Helpers/CommonClass.php:liveStatus():558-561","CONFIRMED model and controller; INFERRED preconditions; PROPOSED target controls","Label 'Labour Contract' via adapter; liveStatus() checks latest labour_contracts record exists"
WF-07,candidate_lifecycle,LABOUR_CONTRACT (step 6),POLICE_MEDICAL (step 7),Police Clearance & Medical,"CONFIRMED: role_id=104 Employee; role_id=106 Owner; INFERRED: role_id=108 Agency; PROPOSED: candidate.police_clearance.create AND candidate.medical.create","CONFIRMED: labour_contracts record must exist (step 6 required in live-status waterfall); INFERRED: candidate status A","INFERRED: police clearance document (photo_file_path in police_clearances); INFERRED: medical certificate document (document_file_path in medicals)","INFERRED: none required","CONFIRMED: candidate_id required for both police_clearances and medicals inserts; INFERRED: thana_id, country_id valid references for police clearance","CONFIRMED: INSERT police_clearances(candidate_id, ...); CONFIRMED: INSERT medicals(candidate_id, ...); INFERRED: notifications","PROPOSED: workflow_event(event=POLICE_CLEARANCE_RECORDED, actor); PROPOSED: workflow_event(event=MEDICAL_RECORDED, actor)","INFERRED: no legacy rollback; PROPOSED: compensating events; documents must be retained in private storage even after correction","src/app/Http/Controllers/Admin/VoyagerPoliceClearanceController.php; src/app/Http/Controllers/Admin/VoyagerMedicalMinistryController.php; src/app/Helpers/CommonClass.php:policeClearanceStatus():504-507; src/app/Helpers/CommonClass.php:liveStatus():555-557","CONFIRMED model and controller existence; INFERRED preconditions; PROPOSED target controls","Label 'Police Clearance & Medical' via adapter; liveStatus() checks latest police_clearances record exists (medical not in waterfall)"
WF-08,candidate_lifecycle,POLICE_MEDICAL (step 7),VISA_WORK_PERMIT (step 8),VISA/Work Permite,"CONFIRMED: role_id=104 Employee; role_id=106 Owner; INFERRED: role_id=108 Agency; PROPOSED: candidate.visa.create","CONFIRMED: police_clearances record must exist (step 7 required in waterfall); INFERRED: candidate status A","INFERRED: visa/work permit document (document_file_path in visa_immigrations)","INFERRED: none required","CONFIRMED: candidate_id required; INFERRED: visa_no, issue_date, expire_date stored; INFERRED: country_id valid reference","CONFIRMED: INSERT visa_immigrations(candidate_id, ...); INFERRED: notifications","PROPOSED: workflow_event(event=VISA_RECORDED, actor, visa_no, expire_date)","INFERRED: no legacy rollback; PROPOSED: compensating event VISA_VOIDED; documents retained in private storage","src/app/Http/Controllers/Admin/VoyagerVisaImmigrationController.php; src/app/Helpers/CommonClass.php:visaStatus():510-513; src/app/Helpers/CommonClass.php:liveStatus():553-555","CONFIRMED model and controller; INFERRED preconditions; PROPOSED target controls","Label 'VISA/Work Permite' (exact legacy spelling preserved) via adapter; liveStatus() checks latest visa_immigrations record"
WF-09,candidate_lifecycle,VISA_WORK_PERMIT (step 8),MANPOWER_STATUS (step 9),Manpower Status,"CONFIRMED actors: agent (role_id=101) submits payment_request; finance approver approves via AJAX route; PROPOSED: candidate.payment_request.create AND finance.payment_request.approve","CONFIRMED: visa_immigrations record must exist (step 8 in waterfall); CONFIRMED (code): an approved payment_request with bill_title matching '%Manpower%' OR (BUG) any bill_title must exist for candidate — see KNOWN BUG; INFERRED: BMET/manpower_trainings record expected but not enforced in liveStatus()","INFERRED: manpower training certificate (certificate_file_path in manpower_trainings); INFERRED: BMET registration document (manpower_file_path); INFERRED: fingerprint record (finger_print_file_path)","CONFIRMED: approved payment_request with bill_title='Manpower Fee' (or matching '%Manpower%' — KNOWN BUG: tautological OR makes any approved request satisfy this); PROPOSED: explicit bill_title_code=MANPOWER_FEE on payment_request","CONFIRMED: balance >= amount check before approval; CONFIRMED: agent or sub-agent balance debited on approval; CONFIRMED KNOWN BUG: bill_title = 'Manpower Fee' assignment uses = (assignment) not == (comparison) in approval flow; INFERRED: payment_date valid; PROPOSED: idempotency key prevents double-debit","CONFIRMED: INSERT manpower_trainings(candidate_id, ...); CONFIRMED on approval: UPDATE payment_requests SET status='A'; INSERT payments(type='DR', ...); UPDATE agents/sub_agents SET balance=balance-amount; CONFIRMED BUG: candidates.admission_payment_id / final_group_payment_id / medical_fee_payment_id set via assignment not comparison — may link wrong IDs","PROPOSED: workflow_event(event=MANPOWER_FEE_APPROVED, actor, payment_request_id, amount, currency, rate, timestamp)","CONFIRMED: no reversal path in legacy once approved; PROPOSED: immutable ledger — reversal requires PAYMENT_REVERSED compensating entry with linked original; balance correction is a new debit/credit pair not a rollback; original DR entry preserved for audit","src/app/Http/Controllers/Admin/VoyagerAjaxController.php:candidatePaymentApproval():184-284; src/app/Helpers/CommonClass.php:manpowerStatus():520-527; src/app/Helpers/CommonClass.php:mpVisaAndPaymentStatus():441-487; src/app/Http/Controllers/Admin/VoyagerManpowerController.php","CONFIRMED code paths; CONFIRMED known bugs; INFERRED preconditions; PROPOSED target controls REQUIRE APPROVAL A01/A02","Label 'Manpower Status' via adapter; liveStatus() checks manpowerStatus() which is KNOWN BUGGY — matches all approved requests; REQUIRES business decision A03 for correct manpower fee detection rule"
WF-10,candidate_lifecycle,MANPOWER_STATUS (step 9),FLIGHT (step 10),Flight,"CONFIRMED: role_id=104 Employee; role_id=106 Owner; INFERRED: role_id=108 Agency; PROPOSED: candidate.flight.create","CONFIRMED: manpower/payment step must be satisfied (step 9 in waterfall); INFERRED: visa must be active; INFERRED: candidate status A","INFERRED: flight ticket (ticket_file_path in flight_schedules); INFERRED: arrival seal page (arrival_seal_page_file_path)","CONFIRMED: payment status computed via mpVisaAndPaymentStatus() for UI color coding; INFERRED: no payment required to INSERT flight_schedules row","CONFIRMED: candidate_id, flight_date, flight_time stored; INFERRED: flight_name, departure, arrival fields required; INFERRED: departure date must be in future at creation","CONFIRMED: INSERT flight_schedules(candidate_id, flight_date, flight_time, ...); INFERRED: notifications","PROPOSED: workflow_event(event=FLIGHT_SCHEDULED, actor, flight_date, flight_name)","INFERRED: no legacy rollback; PROPOSED: compensating event FLIGHT_CANCELLED; files retained in private storage; UI payment status badge updated automatically from new event data","src/app/Http/Controllers/Admin/VoyagerFlightScheduleController.php; src/app/Helpers/CommonClass.php:flightStatus():528-531; src/app/Helpers/CommonClass.php:liveStatus():546-549; src/app/Helpers/CommonClass.php:mpVisaAndPaymentStatus()","CONFIRMED model and controller; INFERRED preconditions; PROPOSED target controls","Label 'Flight' via adapter; liveStatus() checks latest flight_schedules record; flight_date+time displayed in label"
