source_table,purpose,insert_row_count,primary_key,indexes,declared_fks,logical_relationships,model_refs,controller_refs,service_helper_refs,report_refs,sensitive_fields,status_fields,duplicate_legacy_evidence,target_table,target_module,decision,legacy_id_mapping,validation_rule,migration_risk
agenciers,Master records for overseas employment agencies/account principals.,13,id,[],[],country_id->countries.id [INFERRED],src/app/Models/Agencier.php:8 | src/app/Models/Candidate.php:29 | src/app/Models/Invoice.php:12 | src/app/Models/TicketInvoice.php:10,src/app/Http/Controllers/Admin/VoyagerAgencierController.php:35 | src/app/Http/Controllers/Admin/VoyagerAjaxController.php:35 | src/app/Http/Controllers/Admin/VoyagerInvoiceController.php:8 | src/app/Http/Controllers/Admin/VoyagerMyPanelController.php:847 | src/app/Http/Controllers/Admin/VoyagerReportController.php:461 | src/app/Http/Controllers/Admin/VoyagerTicketInvoiceController.php:5,src/app/Helpers/CommonClass.php:5,selected-candidate-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::selectedCandidateReport; src/resources/views/vendor/voyager/reports/print/selected-candidate-report.blade.php | flight-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::flightReport; src/resources/views/vendor/voyager/reports/print/flight-report.blade.php | employee-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::employerReport; src/resources/views/vendor/voyager/reports/print/employer-report.blade.php | exam-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::examReport; src/resources/views/vendor/voyager/reports/print/exam-report.blade.php | flight-schedule: src/app/Http/Controllers/Admin/VoyagerReportController.php::flightSchedule; src/resources/views/vendor/voyager/reports/print/flight-schedule.blade.php | candidate-resume-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::candidateResumeReport; src/resources/views/vendor/voyager/reports/print/candidate-resume-report.blade.php | candidate-list-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::candidateListReport; src/resources/views/vendor/voyager/reports/print/candidate-list-report.blade.php | tickets-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::ticketsReport; src/resources/views/vendor/voyager/reports/print/tickets-report.blade.php | money-receipt-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::moneyReceiptReport; src/resources/views/vendor/voyager/reports/print/money-receipt-report.blade.php,"name,email,mobile,address,balance,owner_name,owner_mobile,owner_email,signature,bank_account_name,bank_account_no,bank_name,bank_branch_name,bank_iban_no,bank_swift_no",status,Near-name collision but materially different columns/ownership; do not merge without business keys.,partners.agencies,partners,KEEP,"legacy_key_map(source_system='manpower_mysql',source_table,source_id)->target_type,target_id; unique on source triplet",source INSERT tuples=13; reconcile target lineage count and PK uniqueness; compare deterministic field hashes excluding approved transforms,HIGH
agencies,Candidate-specific agency name/address snapshots; not the agencier master.,265,id,[],[],candidate_id->candidates.id [INFERRED],src/app/Models/Agency.php:8,UNVERIFIED: no canonical controller reference found,UNVERIFIED: no canonical service/helper reference found,UNVERIFIED: definitive active report catalog contains no query/view reference to this table,"name,address",none,Near-name collision but materially different columns/ownership; do not merge without business keys.,candidate.agency_snapshots,candidate,KEEP,"legacy_key_map(source_system='manpower_mysql',source_table,source_id)->target_type,target_id; unique on source triplet",source INSERT tuples=265; reconcile target lineage count and PK uniqueness; compare deterministic field hashes excluding approved transforms,HIGH
agents,Legacy records for agents; business semantics beyond schema/source references are UNVERIFIED.,40,id,[],[],UNVERIFIED: no safe relationship inferred,src/app/Models/Agent.php:8 | src/app/Models/Candidate.php:23 | src/app/Models/PaymentRequest.php:13,src/app/Http/Controllers/AgentController.php:13 | src/app/Http/Controllers/Admin/VoyagerAgentController.php:7 | src/app/Http/Controllers/Admin/VoyagerAjaxController.php:6 | src/app/Http/Controllers/Admin/VoyagerAnnouncementsController.php:6 | src/app/Http/Controllers/Admin/VoyagerCandidateDocumentController.php:91 | src/app/Http/Controllers/Admin/VoyagerCandidatesController.php:7 | src/app/Http/Controllers/Admin/VoyagerMyPanelController.php:6 | src/app/Http/Controllers/Admin/VoyagerNotificationsController.php:6 | src/app/Http/Controllers/Admin/VoyagerPaymentController.php:6 | src/app/Http/Controllers/Admin/VoyagerPaymentRequestController.php:95 | src/app/Http/Controllers/Admin/VoyagerProfileController.php:31 | src/app/Http/Controllers/Admin/VoyagerReportController.php:5 | src/app/Http/Controllers/Admin/VoyagerSubAgentController.php:7 | src/app/Http/Controllers/Admin/VoyagerSubAgentPaymentRequestController.php:97 | src/app/Http/Controllers/Admin/VoyagerTicketInvoiceController.php:6 | src/app/Http/Controllers/Admin/VoyagerUserController.php:53,src/app/Helpers/CommonClass.php:6,agent-ledger: src/app/Http/Controllers/Admin/VoyagerReportController.php::agentLedger; src/resources/views/vendor/voyager/reports/print/agent-ledger.blade.php | agent-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::agentReport; src/resources/views/vendor/voyager/reports/print/agent-report.blade.php | selected-candidate-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::selectedCandidateReport; src/resources/views/vendor/voyager/reports/print/selected-candidate-report.blade.php | flight-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::flightReport; src/resources/views/vendor/voyager/reports/print/flight-report.blade.php | employee-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::employerReport; src/resources/views/vendor/voyager/reports/print/employer-report.blade.php | exam-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::examReport; src/resources/views/vendor/voyager/reports/print/exam-report.blade.php | flight-schedule: src/app/Http/Controllers/Admin/VoyagerReportController.php::flightSchedule; src/resources/views/vendor/voyager/reports/print/flight-schedule.blade.php | candidate-resume-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::candidateResumeReport; src/resources/views/vendor/voyager/reports/print/candidate-resume-report.blade.php | candidate-list-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::candidateListReport; src/resources/views/vendor/voyager/reports/print/candidate-list-report.blade.php,"name,email,secondary_email,mobile,secondary_mobile,emergency_mobile,bid,bid_file_path,nid,nid_file_path,passport_no,passport_issue_date,passport_expire_date,passport_file_path,dob,full_photo_file_path,half_photo_file_path,father_name,mother_name,present_address_house,present_address_road,present_address_village,present_address_post,present_address_thana_id,present_address_district_id,present_address_division_id,permanent_address_house,permanent_address_road,permanent_address_village,permanent_address_post,permanent_address_thana_id,permanent_address_district_id,permanent_address_division_id,balance,cv_file_path",status,None evidenced by name/schema alone.,operations.agents,operations,KEEP,"legacy_key_map(source_system='manpower_mysql',source_table,source_id)->target_type,target_id; unique on source triplet",source INSERT tuples=40; reconcile target lineage count and PK uniqueness; compare deterministic field hashes excluding approved transforms,HIGH
announcement_class_groups,Legacy records for announcement class groups; business semantics beyond schema/source references are UNVERIFIED.,3060,id,[],[],announcement_id->announcements.id [INFERRED] | class_group_id->class_groups.id [INFERRED],src/app/Models/AnnouncementClassGroup.php:8,UNVERIFIED: no canonical controller reference found,UNVERIFIED: no canonical service/helper reference found,UNVERIFIED: definitive active report catalog contains no query/view reference to this table,none identified by field-name heuristic,none,None evidenced by name/schema alone.,operations.announcement_class_groups,operations,KEEP,"legacy_key_map(source_system='manpower_mysql',source_table,source_id)->target_type,target_id; unique on source triplet",source INSERT tuples=3060; reconcile target lineage count and PK uniqueness; compare deterministic field hashes excluding approved transforms,MEDIUM
announcements,Legacy records for announcements; business semantics beyond schema/source references are UNVERIFIED.,832,id,[],[],group_id->class_groups.id [INFERRED],src/app/Models/Announcement.php:8,UNVERIFIED: no canonical controller reference found,UNVERIFIED: no canonical service/helper reference found,UNVERIFIED: definitive active report catalog contains no query/view reference to this table,file_path,status,None evidenced by name/schema alone.,operations.announcements,operations,KEEP,"legacy_key_map(source_system='manpower_mysql',source_table,source_id)->target_type,target_id; unique on source triplet",source INSERT tuples=832; reconcile target lineage count and PK uniqueness; compare deterministic field hashes excluding approved transforms,HIGH
arcs,Legacy records for arcs; business semantics beyond schema/source references are UNVERIFIED.,632,id,[],[],candidate_id->candidates.id [INFERRED],src/app/Models/Arc.php:8,src/app/Http/Controllers/Admin/VoyagerReportController.php:778,src/app/Helpers/CommonClass.php:8,arc-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::arcReport; src/resources/views/vendor/voyager/reports/print/arc-report.blade.php,acr_file_path,"is_lifetime,status",None evidenced by name/schema alone.,candidate.arcs,candidate,KEEP,"legacy_key_map(source_system='manpower_mysql',source_table,source_id)->target_type,target_id; unique on source triplet",source INSERT tuples=632; reconcile target lineage count and PK uniqueness; compare deterministic field hashes excluding approved transforms,HIGH
attribute_list,Legacy records for attribute list; business semantics beyond schema/source references are UNVERIFIED.,0,id,[],[],user_id->users.id [INFERRED],src/app/Models/AttributeList.php:8,src/app/Http/Controllers/PageController.php:6 | src/app/Http/Controllers/Admin/VoyagerMyPanelController.php:7,UNVERIFIED: no canonical service/helper reference found,UNVERIFIED: definitive active report catalog contains no query/view reference to this table,attribute_name,none,None evidenced by name/schema alone.,operations.attribute_list,operations,KEEP,"legacy_key_map(source_system='manpower_mysql',source_table,source_id)->target_type,target_id; unique on source triplet",source INSERT tuples=0; reconcile target lineage count and PK uniqueness; compare deterministic field hashes excluding approved transforms,HIGH
candidate_documents,Legacy records for candidate documents; business semantics beyond schema/source references are UNVERIFIED.,1195,id,[],[],candidate_id->candidates.id [INFERRED] | document_type_id->document_types.id [INFERRED],src/app/Models/CandidateDocument.php:8,src/app/Http/Controllers/Admin/VoyagerCandidateDocumentController.php:7,UNVERIFIED: no canonical service/helper reference found,UNVERIFIED: definitive active report catalog contains no query/view reference to this table,file_path,status,None evidenced by name/schema alone.,candidate.candidate_documents,candidate,KEEP,"legacy_key_map(source_system='manpower_mysql',source_table,source_id)->target_type,target_id; unique on source triplet",source INSERT tuples=1195; reconcile target lineage count and PK uniqueness; compare deterministic field hashes excluding approved transforms,HIGH
candidates,Central candidate entity. All 79 source columns preserved as-is. No physical split permitted in initial migration. Future normalization is a separate approved change.,1679,id,"[{""kind"":""INDEX"",""name"":""idx_created_at"",""columns"":[""created_at""]},{""kind"":""INDEX"",""name"":""idx_agency_id"",""columns"":[""agent_id""]},{""kind"":""INDEX"",""name"":""idx_class_group_id"",""columns"":[""class_group_id""]},{""kind"":""INDEX"",""name"":""idx_companier_id"",""columns"":[""companier_id""]},{""kind"":""INDEX"",""name"":""idx_agencier_id"",""columns"":[""agencier_id""]},{""kind"":""INDEX"",""name"":""idx_candidates_replaced_by"",""columns"":[""replaced_by_candidate_id""]}]","[{""name"":""fk_candidates_replaced_by"",""columns"":[""replaced_by_candidate_id""],""ref_table"":""candidates"",""ref_columns"":[""id""],""actions"":""ON DELETE SET NULL""}]",replaced_by_candidate_id->candidates.id [CONFIRMED] | agent_id->agents.id [INFERRED] | class_group_id->class_groups.id [INFERRED] | companier_id->companiers.id [INFERRED] | agencier_id->agenciers.id [INFERRED] | position_id->positions.id [INFERRED] | sub_agent_id->sub_agents.id [INFERRED] | country_id->countries.id [INFERRED],src/app/Models/Arc.php:10 | src/app/Models/Candidate.php:10 | src/app/Models/ClassGroup.php:24 | src/app/Models/Companier.php:21 | src/app/Models/ExamResult.php:10 | src/app/Models/Invoice.php:28 | src/app/Models/PaymentRequest.php:10 | src/app/Models/PoliceClearance.php:10 | src/app/Models/SelectedCandidate.php:10 | src/app/Models/SubAgentPaymentRequest.php:10 | src/app/Models/TicketInvoice.php:10 | src/app/Models/TicketInvoiceLine.php:11 | src/app/Models/VisaImmigration.php:10,src/app/Http/Controllers/ApiController.php:6 | src/app/Http/Controllers/PageController.php:7 | src/app/Http/Controllers/Admin/VoyagerAgentController.php:8 | src/app/Http/Controllers/Admin/VoyagerAjaxController.php:7 | src/app/Http/Controllers/Admin/VoyagerAnnouncementsController.php:7 | src/app/Http/Controllers/Admin/VoyagerCandidateDocumentController.php:6 | src/app/Http/Controllers/Admin/VoyagerCandidatesController.php:8 | src/app/Http/Controllers/Admin/VoyagerExamController.php:6 | src/app/Http/Controllers/Admin/VoyagerExamResultController.php:6 | src/app/Http/Controllers/Admin/VoyagerInvoiceController.php:5 | src/app/Http/Controllers/Admin/VoyagerLicenseController.php:5 | src/app/Http/Controllers/Admin/VoyagerMyPanelController.php:8 | src/app/Http/Controllers/Admin/VoyagerNotificationsController.php:7 | src/app/Http/Controllers/Admin/VoyagerPaymentController.php:7 | src/app/Http/Controllers/Admin/VoyagerPaymentRequestController.php:6 | src/app/Http/Controllers/Admin/VoyagerReportController.php:6 | src/app/Http/Controllers/Admin/VoyagerSubAgentController.php:9 | src/app/Http/Controllers/Admin/VoyagerSubAgentPaymentRequestController.php:6 | src/app/Http/Controllers/Admin/VoyagerTicketInvoiceController.php:7 | src/app/Http/Controllers/Admin/VoyagerUserController.php:56,src/app/Helpers/CommonClass.php:9,agent-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::agentReport; src/resources/views/vendor/voyager/reports/print/agent-report.blade.php | selected-candidate-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::selectedCandidateReport; src/resources/views/vendor/voyager/reports/print/selected-candidate-report.blade.php | flight-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::flightReport; src/resources/views/vendor/voyager/reports/print/flight-report.blade.php | employee-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::employerReport; src/resources/views/vendor/voyager/reports/print/employer-report.blade.php | exam-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::examReport; src/resources/views/vendor/voyager/reports/print/exam-report.blade.php | flight-schedule: src/app/Http/Controllers/Admin/VoyagerReportController.php::flightSchedule; src/resources/views/vendor/voyager/reports/print/flight-schedule.blade.php | exam-result-sheet: src/app/Http/Controllers/Admin/VoyagerReportController.php::examResultSheet; src/resources/views/vendor/voyager/reports/print/exam-result-sheet.blade.php | candidate-resume-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::candidateResumeReport; src/resources/views/vendor/voyager/reports/print/candidate-resume-report.blade.php | candidate-list-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::candidateListReport; src/resources/views/vendor/voyager/reports/print/candidate-list-report.blade.php | police-clearance-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::policeClearanceReport; src/resources/views/vendor/voyager/reports/print/police-clearance-report.blade.php | arc-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::arcReport; src/resources/views/vendor/voyager/reports/print/arc-report.blade.php | visa-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::visaReport; src/resources/views/vendor/voyager/reports/print/visa-report.blade.php | tickets-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::ticketsReport; src/resources/views/vendor/voyager/reports/print/tickets-report.blade.php,"name,email,secondary_email,mobile,secondary_mobile,emergency_mobile,bid,bid_file_path,nid,nid_file_path,passport_no,passport_issue_date,passport_expire_date,passport_file_path,dob,full_photo_file_path,half_photo_file_path,father_name,mother_name,present_address_house,present_address_road,present_address_village,present_address_post,present_address_thana_id,present_address_district_id,present_address_division_id,permanent_address_house,permanent_address_road,permanent_address_village,permanent_address_post,permanent_address_thana_id,permanent_address_district_id,permanent_address_division_id,balance,cv_file_path,remarks,replacement_remarks,skill_certificate_file_path,stamp_file_path","status,marital_status,company_status",None evidenced by name/schema alone.,candidate.candidates,candidate,KEEP,"legacy_key_map(source_system='manpower_mysql',source_table,source_id)->target_type,target_id; unique on source triplet",source INSERT tuples=1679; reconcile target lineage count and PK uniqueness; compare deterministic field hashes excluding approved transforms,HIGH
categories,Legacy records for categories; business semantics beyond schema/source references are UNVERIFIED.,2,id,"[{""kind"":""UNIQUE"",""name"":""categories_slug_unique"",""columns"":[""slug""]},{""kind"":""INDEX"",""name"":""categories_parent_id_foreign"",""columns"":[""parent_id""]}]","[{""name"":""categories_parent_id_foreign"",""columns"":[""parent_id""],""ref_table"":""categories"",""ref_columns"":[""id""],""actions"":""ON DELETE SET NULL ON UPDATE CASCADE""}]",parent_id->categories.id [CONFIRMED],UNVERIFIED: no canonical model maps to this table by explicit $table or Laravel naming convention,src/app/Http/Controllers/Admin/VoyagerDatabaseController.php:74,UNVERIFIED: no canonical service/helper reference found,UNVERIFIED: definitive active report catalog contains no query/view reference to this table,name,none,None evidenced by name/schema alone.,legacy_platform.categories,legacy_platform,IGNORE,"legacy_key_map(source_system='manpower_mysql',source_table,source_id)->target_type,target_id; unique on source triplet",source INSERT tuples=2; reconcile target lineage count and PK uniqueness; compare deterministic field hashes excluding approved transforms,HIGH
