source_table,source_column,source_type,bread_type,legacy_format,legacy_path_root,target_metadata,access_rule,orphan_rule,validation,evidence
agenciers,logo,longtext,image,Possible Voyager array JSON with download_link/original_name; detect per value,"Voyager/public storage relative path, often agenciers/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
agenciers,signature,longtext,image,Possible Voyager array JSON with download_link/original_name; detect per value,"Voyager/public storage relative path, often agenciers/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
agents,bid_file_path,varchar(255),file,Usually scalar path; profile before load,"Voyager/public storage relative path, often agents/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
agents,nid_file_path,varchar(255),file,Usually scalar path; profile before load,"Voyager/public storage relative path, often agents/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
agents,passport_file_path,varchar(250),file,Usually scalar path; profile before load,"Voyager/public storage relative path, often agents/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
agents,full_photo_file_path,varchar(255),image,Usually scalar path; profile before load,"Voyager/public storage relative path, often agents/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
agents,half_photo_file_path,varchar(255),image,Usually scalar path; profile before load,"Voyager/public storage relative path, often agents/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
agents,cv_file_path,varchar(250),file,Usually scalar path; profile before load,"Voyager/public storage relative path, often agents/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
announcements,file_path,varchar(255),file,Usually scalar path; profile before load,"Voyager/public storage relative path, often announcements/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
arcs,acr_file_path,varchar(255),file,Usually scalar path; profile before load,"Voyager/public storage relative path, often arcs/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
candidates,bid_file_path,longtext,file,Possible Voyager array JSON with download_link/original_name; detect per value,"Voyager/public storage relative path, often candidates/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
candidates,nid_file_path,varchar(255),file,Usually scalar path; profile before load,"Voyager/public storage relative path, often candidates/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
candidates,passport_file_path,longtext,file,Possible Voyager array JSON with download_link/original_name; detect per value,"Voyager/public storage relative path, often candidates/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
candidates,full_photo_file_path,longtext,image,Possible Voyager array JSON with download_link/original_name; detect per value,"Voyager/public storage relative path, often candidates/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
candidates,half_photo_file_path,longtext,image,Possible Voyager array JSON with download_link/original_name; detect per value,"Voyager/public storage relative path, often candidates/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
candidates,cv_file_path,longtext,file,Possible Voyager array JSON with download_link/original_name; detect per value,"Voyager/public storage relative path, often candidates/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
candidates,skill_certificate_file_path,longtext,file,Possible Voyager array JSON with download_link/original_name; detect per value,"Voyager/public storage relative path, often candidates/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
