operation,old_behavior,proposed_behavior,parity,known_bug_or_risk,business_decision,numeric_policy,immutability,reconciliation,evidence
Create agent credit/payment,payments CR row plus agent balance mutation,Balanced immutable ledger transaction,PARITY,Float/integer-scale source amounts; mutable balance,Approve currency/minor-unit and opening-balance cutover,"amount numeric(20,6); exchange_rate numeric(20,8); base_amount numeric(20,6); currency minor-unit validation; ROUND_HALF_UP only at approved posting boundary",No UPDATE/DELETE of POSTED entries; append REVERSAL linked to original; audit actor/reason/correlation/idempotency keys,Every journal balances per currency; daily source-vs-target counts/sums; account trial balance; request-to-posting one-to-one; backup exclusion proof,CONFIRMED schema/source where described; PROPOSED target; UNVERIFIED business semantics flagged
Create candidate debit from request,"Approve request, decrement balance, create DR payment",Serializable request approval posts balanced entries once,PARITY,bill_title uses assignment (=) in stage linkage branches,Stage linkage must use approved fee-type key,"amount numeric(20,6); exchange_rate numeric(20,8); base_amount numeric(20,6); currency minor-unit validation; ROUND_HALF_UP only at approved posting boundary",No UPDATE/DELETE of POSTED entries; append REVERSAL linked to original; audit actor/reason/correlation/idempotency keys,Every journal balances per currency; daily source-vs-target counts/sums; account trial balance; request-to-posting one-to-one; backup exclusion proof,CONFIRMED schema/source where described; PROPOSED target; UNVERIFIED business semantics flagged
Reject payment request,P to R status update,Append decision event; no ledger posting,PARITY,Atomicity/audit actor completeness UNVERIFIED,Define reject/reopen authority,"amount numeric(20,6); exchange_rate numeric(20,8); base_amount numeric(20,6); currency minor-unit validation; ROUND_HALF_UP only at approved posting boundary",No UPDATE/DELETE of POSTED entries; append REVERSAL linked to original; audit actor/reason/correlation/idempotency keys,Every journal balances per currency; daily source-vs-target counts/sums; account trial balance; request-to-posting one-to-one; backup exclusion proof,CONFIRMED schema/source where described; PROPOSED target; UNVERIFIED business semantics flagged
Sub-agent request approval,Agent/sub-agent conditional approval path,Same request aggregate with scoped approver chain,PARITY,Mixed agent/sub-agent model and hard-coded role IDs,Approve escalation and liability owner,"amount numeric(20,6); exchange_rate numeric(20,8); base_amount numeric(20,6); currency minor-unit validation; ROUND_HALF_UP only at approved posting boundary",No UPDATE/DELETE of POSTED entries; append REVERSAL linked to original; audit actor/reason/correlation/idempotency keys,Every journal balances per currency; daily source-vs-target counts/sums; account trial balance; request-to-posting one-to-one; backup exclusion proof,CONFIRMED schema/source where described; PROPOSED target; UNVERIFIED business semantics flagged
Manual payment edit/delete,Voyager BREAD may permit mutation according to grants,Posted entries immutable; correction by reversal/repost,INTENTIONAL CHANGE,Silent history changes possible,Approve lock date and correction workflow,"amount numeric(20,6); exchange_rate numeric(20,8); base_amount numeric(20,6); currency minor-unit validation; ROUND_HALF_UP only at approved posting boundary",No UPDATE/DELETE of POSTED entries; append REVERSAL linked to original; audit actor/reason/correlation/idempotency keys,Every journal balances per currency; daily source-vs-target counts/sums; account trial balance; request-to-posting one-to-one; backup exclusion proof,CONFIRMED schema/source where described; PROPOSED target; UNVERIFIED business semantics flagged
Agent balance display,Stored agents.balance and payment sums/global scopes,Derived ledger balance plus reconciliation snapshot,PARITY,Drift possible; tautological candidate/manpower query defect noted in canonical code audit,Choose ledger as source of truth,"amount numeric(20,6); exchange_rate numeric(20,8); base_amount numeric(20,6); currency minor-unit validation; ROUND_HALF_UP only at approved posting boundary",No UPDATE/DELETE of POSTED entries; append REVERSAL linked to original; audit actor/reason/correlation/idempotency keys,Every journal balances per currency; daily source-vs-target counts/sums; account trial balance; request-to-posting one-to-one; backup exclusion proof,CONFIRMED schema/source where described; PROPOSED target; UNVERIFIED business semantics flagged
Currency conversion,currency_id plus float exchange_rate,"numeric(20,8) rate; amount numeric(20,6); posted base amount numeric(20,6)",PARITY,Binary float and unclear rounding,Approve currency decimal places and rounding mode,"amount numeric(20,6); exchange_rate numeric(20,8); base_amount numeric(20,6); currency minor-unit validation; ROUND_HALF_UP only at approved posting boundary",No UPDATE/DELETE of POSTED entries; append REVERSAL linked to original; audit actor/reason/correlation/idempotency keys,Every journal balances per currency; daily source-vs-target counts/sums; account trial balance; request-to-posting one-to-one; backup exclusion proof,CONFIRMED schema/source where described; PROPOSED target; UNVERIFIED business semantics flagged
Invoice issue,Mutable invoice header/lines,Versioned issued invoice; immutable monetary lines after issue,PARITY,Totals/tax semantics require report parity,Approve lifecycle DRAFT/ISSUED/VOID,"amount numeric(20,6); exchange_rate numeric(20,8); base_amount numeric(20,6); currency minor-unit validation; ROUND_HALF_UP only at approved posting boundary",No UPDATE/DELETE of POSTED entries; append REVERSAL linked to original; audit actor/reason/correlation/idempotency keys,Every journal balances per currency; daily source-vs-target counts/sums; account trial balance; request-to-posting one-to-one; backup exclusion proof,CONFIRMED schema/source where described; PROPOSED target; UNVERIFIED business semantics flagged
Money receipt issue,Invoice receipt records and print,Receipt tied to ledger settlement and immutable issuance event,PARITY,Potential invoice/payment divergence,Approve allocation/overpayment policy,"amount numeric(20,6); exchange_rate numeric(20,8); base_amount numeric(20,6); currency minor-unit validation; ROUND_HALF_UP only at approved posting boundary",No UPDATE/DELETE of POSTED entries; append REVERSAL linked to original; audit actor/reason/correlation/idempotency keys,Every journal balances per currency; daily source-vs-target counts/sums; account trial balance; request-to-posting one-to-one; backup exclusion proof,CONFIRMED schema/source where described; PROPOSED target; UNVERIFIED business semantics flagged
Ticket invoice/receipt,Separate ticket tables and print paths,Finance sub-ledger using shared posting primitives,PARITY,Duplicate financial implementation,Approve shared versus separate numbering,"amount numeric(20,6); exchange_rate numeric(20,8); base_amount numeric(20,6); currency minor-unit validation; ROUND_HALF_UP only at approved posting boundary",No UPDATE/DELETE of POSTED entries; append REVERSAL linked to original; audit actor/reason/correlation/idempotency keys,Every journal balances per currency; daily source-vs-target counts/sums; account trial balance; request-to-posting one-to-one; backup exclusion proof,CONFIRMED schema/source where described; PROPOSED target; UNVERIFIED business semantics flagged
