legacy_permission_id,legacy_key,table_name,proposed_stable_key,route_controller_actions,row_scope,document_access,report_access,evidence
1,browse_admin,,operations.admin.browse,UNVERIFIED: Voyager/BREAD dynamic route or no explicit canonical action,PROPOSED: explicit policy scope required; legacy global scopes/hard-coded roles must be translated,PROPOSED: inherit resource read plus file-specific policy; never infer from URL possession,PROPOSED: separate report.execute/report.export permission where applicable,CONFIRMED legacy permission; PROPOSED stable key/scopes
2,browse_bread,,operations.bread.browse,UNVERIFIED: Voyager/BREAD dynamic route or no explicit canonical action,PROPOSED: explicit policy scope required; legacy global scopes/hard-coded roles must be translated,PROPOSED: inherit resource read plus file-specific policy; never infer from URL possession,PROPOSED: separate report.execute/report.export permission where applicable,CONFIRMED legacy permission; PROPOSED stable key/scopes
3,browse_database,,operations.database.browse,UNVERIFIED: Voyager/BREAD dynamic route or no explicit canonical action,PROPOSED: explicit policy scope required; legacy global scopes/hard-coded roles must be translated,PROPOSED: inherit resource read plus file-specific policy; never infer from URL possession,PROPOSED: separate report.execute/report.export permission where applicable,CONFIRMED legacy permission; PROPOSED stable key/scopes
4,browse_media,,operations.media.browse,UNVERIFIED: Voyager/BREAD dynamic route or no explicit canonical action,PROPOSED: explicit policy scope required; legacy global scopes/hard-coded roles must be translated,PROPOSED: inherit resource read plus file-specific policy; never infer from URL possession,PROPOSED: separate report.execute/report.export permission where applicable,CONFIRMED legacy permission; PROPOSED stable key/scopes
5,browse_compass,,operations.compass.browse,UNVERIFIED: Voyager/BREAD dynamic route or no explicit canonical action,PROPOSED: explicit policy scope required; legacy global scopes/hard-coded roles must be translated,PROPOSED: inherit resource read plus file-specific policy; never infer from URL possession,PROPOSED: separate report.execute/report.export permission where applicable,CONFIRMED legacy permission; PROPOSED stable key/scopes
6,browse_menus,menus,platform.menus.browse,UNVERIFIED: Voyager/BREAD dynamic route or no explicit canonical action,PROPOSED: explicit policy scope required; legacy global scopes/hard-coded roles must be translated,PROPOSED: inherit resource read plus file-specific policy; never infer from URL possession,PROPOSED: separate report.execute/report.export permission where applicable,CONFIRMED legacy permission; PROPOSED stable key/scopes
7,read_menus,menus,platform.menus.read,UNVERIFIED: Voyager/BREAD dynamic route or no explicit canonical action,PROPOSED: explicit policy scope required; legacy global scopes/hard-coded roles must be translated,PROPOSED: inherit resource read plus file-specific policy; never infer from URL possession,PROPOSED: separate report.execute/report.export permission where applicable,CONFIRMED legacy permission; PROPOSED stable key/scopes
8,edit_menus,menus,platform.menus.edit,UNVERIFIED: Voyager/BREAD dynamic route or no explicit canonical action,PROPOSED: explicit policy scope required; legacy global scopes/hard-coded roles must be translated,PROPOSED: inherit resource read plus file-specific policy; never infer from URL possession,PROPOSED: separate report.execute/report.export permission where applicable,CONFIRMED legacy permission; PROPOSED stable key/scopes
9,add_menus,menus,platform.menus.add,UNVERIFIED: Voyager/BREAD dynamic route or no explicit canonical action,PROPOSED: explicit policy scope required; legacy global scopes/hard-coded roles must be translated,PROPOSED: inherit resource read plus file-specific policy; never infer from URL possession,PROPOSED: separate report.execute/report.export permission where applicable,CONFIRMED legacy permission; PROPOSED stable key/scopes
10,delete_menus,menus,platform.menus.delete,UNVERIFIED: Voyager/BREAD dynamic route or no explicit canonical action,PROPOSED: explicit policy scope required; legacy global scopes/hard-coded roles must be translated,PROPOSED: inherit resource read plus file-specific policy; never infer from URL possession,PROPOSED: separate report.execute/report.export permission where applicable,CONFIRMED legacy permission; PROPOSED stable key/scopes
