source_table,source_column,target_table,target_column,evidence,reason
candidates,replaced_by_candidate_id,candidates,id,CONFIRMED,Declared constraint fk_candidates_replaced_by ON DELETE SET NULL
categories,parent_id,categories,id,CONFIRMED,Declared constraint categories_parent_id_foreign ON DELETE SET NULL ON UPDATE CASCADE
data_rows,data_type_id,data_types,id,CONFIRMED,Declared constraint data_rows_data_type_id_foreign ON DELETE CASCADE ON UPDATE CASCADE
menu_items,menu_id,menus,id,CONFIRMED,Declared constraint menu_items_menu_id_foreign ON DELETE CASCADE
permission_role,permission_id,permissions,id,CONFIRMED,Declared constraint permission_role_permission_id_foreign ON DELETE CASCADE
permission_role,role_id,roles,id,CONFIRMED,Declared constraint permission_role_role_id_foreign ON DELETE CASCADE
users,role_id,roles,id,CONFIRMED,Declared constraint users_role_id_foreign
user_roles,role_id,roles,id,CONFIRMED,Declared constraint user_roles_role_id_foreign ON DELETE CASCADE
user_roles,user_id,users,id,CONFIRMED,Declared constraint user_roles_user_id_foreign ON DELETE CASCADE
agenciers,country_id,countries,id,INFERRED,Naming convention plus target table presence; no declared FK.
agencies,candidate_id,candidates,id,INFERRED,Naming convention plus target table presence; no declared FK.
announcements,group_id,class_groups,id,INFERRED,Naming convention plus target table presence; no declared FK.
announcement_class_groups,announcement_id,announcements,id,INFERRED,Naming convention plus target table presence; no declared FK.
announcement_class_groups,class_group_id,class_groups,id,INFERRED,Naming convention plus target table presence; no declared FK.
arcs,candidate_id,candidates,id,INFERRED,Naming convention plus target table presence; no declared FK.
attribute_list,user_id,users,id,INFERRED,Naming convention plus target table presence; no declared FK.
candidates,agent_id,agents,id,INFERRED,Naming convention plus target table presence; no declared FK.
candidates,class_group_id,class_groups,id,INFERRED,Naming convention plus target table presence; no declared FK.
candidates,companier_id,companiers,id,INFERRED,Naming convention plus target table presence; no declared FK.
candidates,agencier_id,agenciers,id,INFERRED,Naming convention plus target table presence; no declared FK.
candidates,position_id,positions,id,INFERRED,Naming convention plus target table presence; no declared FK.
candidates,sub_agent_id,sub_agents,id,INFERRED,Naming convention plus target table presence; no declared FK.
candidates,country_id,countries,id,INFERRED,Naming convention plus target table presence; no declared FK.
candidate_documents,candidate_id,candidates,id,INFERRED,Naming convention plus target table presence; no declared FK.
candidate_documents,document_type_id,document_types,id,INFERRED,Naming convention plus target table presence; no declared FK.
class_schedules,teacher_id,teachers,id,INFERRED,Naming convention plus target table presence; no declared FK.
class_schedules,class_group_id,class_groups,id,INFERRED,Naming convention plus target table presence; no declared FK.
