catalog_type,legacy_id,name,uri,db_status,classification,permission,route,controller_action,view,source_query,tables,params,filters,output_columns,calculations,totals,ordering,pagination,pdf,excel,csv,output_formats,business_rules,known_defect,row_scope,sensitive_output,target_disposition,evidence_classification,evidence
DB_REPORT,8,Agent Ledger,agent-ledger,A,ACTIVE,browse_reports exists; execution enforcement UNVERIFIED because explicit per-route permission middleware is absent,POST reports/generate/agent-ledger (CONFIRMED src/routes/admin.php),VoyagerReportController::agentLedger,vendor.voyager.reports.print.agent-ledger (CONFIRMED),Agent::where(id=agent_id)->first(); Blade traverses agent payment ledger,"agents,payments",Controller: agent_id (required by action); DB metadata: agent_id,Controller: agent_id (required by action); DB metadata: agent_id,"( ) , , , | Total Balance ( ) | SL. | DATE | INVOICE NO. | PARTICULARS | DEPOSIT | PAYMENT | BALANCE ( ) | REMARKS",Ledger is scoped to one agent; debit/credit/balance presentation comes from the Blade.,Blade-derived totals/calculations require golden-output parity; no separate controller total query unless stated,Blade/relationship ordering UNVERIFIED,NONE: action terminates with get()/first() or in-memory collection,YES: PDF-VIEW and PDF-DOWNLOAD via reportProcess,DEFECTIVE: returns generic id/name XLSX rather than report columns,DEFECTIVE: CSV request also returns XLSX; CSV implementation is commented out,PDF=YES: PDF-VIEW and PDF-DOWNLOAD via reportProcess; Excel=DEFECTIVE: returns generic id/name XLSX rather than report columns; CSV=DEFECTIVE: CSV request also returns XLSX; CSV implementation is commented out,Ledger is scoped to one agent; debit/credit/balance presentation comes from the Blade.,"No explicit date filter or controller ordering; correctness depends on model relationship/view behavior. Common exporter defect: EXCEL and CSV use bitwise `|`, both emit XLSX, and export only id/name; CSV code is commented out. reportProcess catches and echoes exception text.",Model scopes may apply; effective role-by-role scope is UNVERIFIED and must be policy-tested,YES: candidate/finance/identity data must be private,Rebuild with golden query/layout/authorization parity and owner approval,CONFIRMED DB row + route + controller + Blade; permission/row-scope details UNVERIFIED,CONFIRMED DB row + route + controller + Blade; permission/row-scope details UNVERIFIED
DB_REPORT,9,Agent Report,agent-report,A,ACTIVE,browse_reports exists; execution enforcement UNVERIFIED because explicit per-route permission middleware is absent,POST reports/generate/agent-report (CONFIRMED src/routes/admin.php),VoyagerReportController::agentReport,vendor.voyager.reports.print.agent-report (CONFIRMED),Bound raw SQL over active agents with correlated candidate/class-group counts,"agents,candidates,class_groups","Controller: agent_id,from_date,to_date; DB metadata: from_date,to_date,agent_id","Controller: agent_id,from_date,to_date; DB metadata: from_date,to_date,agent_id",SL. | NAME | MOBILE | TOTAL CANDIDATE | ADMISSION CAND. | FINAL GROUP CAND. | SELECTED CAND. | VISA UPDATED CAND. | PAYMENT DUE CAND. | BALANCE | DUE BALANCE,"Counts total candidates, class_group_id=1 admissions, and groups whose name contains Final.",Blade-derived totals/calculations require golden-output parity; no separate controller total query unless stated,agents.name ASC,NONE: action terminates with get()/first() or in-memory collection,YES: PDF-VIEW and PDF-DOWNLOAD via reportProcess,DEFECTIVE: returns generic id/name XLSX rather than report columns,DEFECTIVE: CSV request also returns XLSX; CSV implementation is commented out,PDF=YES: PDF-VIEW and PDF-DOWNLOAD via reportProcess; Excel=DEFECTIVE: returns generic id/name XLSX rather than report columns; CSV=DEFECTIVE: CSV request also returns XLSX; CSV implementation is commented out,"Counts total candidates, class_group_id=1 admissions, and groups whose name contains Final.","selected_cand, visa_updated_cand, payment_due_cand, balance and due_balance are hard-coded zero. Common exporter defect: EXCEL and CSV use bitwise `|`, both emit XLSX, and export only id/name; CSV code is commented out. reportProcess catches and echoes exception text.",Model scopes may apply; effective role-by-role scope is UNVERIFIED and must be policy-tested,YES: candidate/finance/identity data must be private,Rebuild with golden query/layout/authorization parity and owner approval,CONFIRMED DB row + route + controller + Blade; permission/row-scope details UNVERIFIED,CONFIRMED DB row + route + controller + Blade; permission/row-scope details UNVERIFIED
DB_REPORT,10,Selected Candidate Report,selected-candidate-report,A,ACTIVE,browse_reports exists; execution enforcement UNVERIFIED because explicit per-route permission middleware is absent,POST reports/generate/selected-candidate-report (CONFIRMED src/routes/admin.php),VoyagerReportController::selectedCandidateReport,vendor.voyager.reports.print.selected-candidate-report (CONFIRMED),Active Candidate with agent/agencier/companier/position/visa/flight eager loads,"candidates,agents,agenciers,companiers,positions,visa_immigrations,flight_schedules","Controller: agent_id,agencier_id,companier_id,from_date,to_date; DB metadata: from_date,to_date,agent_id,agencier_id,companier_id","Controller: agent_id,agencier_id,companier_id,from_date,to_date; DB metadata: from_date,to_date,agent_id,agencier_id,companier_id",SL. | NAME | MOBILE | PASPORT NO. | POSITION | LOCAL AGENT | SELECTION DATE | AGENCY NAME | COMPANY NAME | VISA MP NO. | FLIGHT DATE,Only candidates.status='A'.,Blade-derived totals/calculations require golden-output parity; no separate controller total query unless stated,candidates.name ASC,NONE: action terminates with get()/first() or in-memory collection,YES: PDF-VIEW and PDF-DOWNLOAD via reportProcess,DEFECTIVE: returns generic id/name XLSX rather than report columns,DEFECTIVE: CSV request also returns XLSX; CSV implementation is commented out,PDF=YES: PDF-VIEW and PDF-DOWNLOAD via reportProcess; Excel=DEFECTIVE: returns generic id/name XLSX rather than report columns; CSV=DEFECTIVE: CSV request also returns XLSX; CSV implementation is commented out,Only candidates.status='A'.,"Report name implies selected status but query only enforces active candidate status. Common exporter defect: EXCEL and CSV use bitwise `|`, both emit XLSX, and export only id/name; CSV code is commented out. reportProcess catches and echoes exception text.",Model scopes may apply; effective role-by-role scope is UNVERIFIED and must be policy-tested,YES: candidate/finance/identity data must be private,Rebuild with golden query/layout/authorization parity and owner approval,CONFIRMED DB row + route + controller + Blade; permission/row-scope details UNVERIFIED,CONFIRMED DB row + route + controller + Blade; permission/row-scope details UNVERIFIED
DB_REPORT,11,Flight Report,flight-report,A,ACTIVE,browse_reports exists; execution enforcement UNVERIFIED because explicit per-route permission middleware is absent,POST reports/generate/flight-report (CONFIRMED src/routes/admin.php),VoyagerReportController::flightReport,vendor.voyager.reports.print.flight-report (CONFIRMED),Active Candidate with party and flight relationships,"candidates,agents,agenciers,companiers,flight_schedules","Controller: agent_id,agencier_id,from_date,to_date; DB metadata: from_date,to_date,agent_id,agencier_id","Controller: agent_id,agencier_id,from_date,to_date; DB metadata: from_date,to_date,agent_id,agencier_id",SL. | CANDIDATE NAME | PASSPORT NO. | MOBILE NO. | COMPANY NAME | FLIGHT NAME | FLIGHT DATE | DEPARTURE TIME | ARRIVAL TIME,"Only candidates.status='A'; dates filter candidate creation, not flight date.",Blade-derived totals/calculations require golden-output parity; no separate controller total query unless stated,candidates.name ASC,NONE: action terminates with get()/first() or in-memory collection,YES: PDF-VIEW and PDF-DOWNLOAD via reportProcess,DEFECTIVE: returns generic id/name XLSX rather than report columns,DEFECTIVE: CSV request also returns XLSX; CSV implementation is commented out,PDF=YES: PDF-VIEW and PDF-DOWNLOAD via reportProcess; Excel=DEFECTIVE: returns generic id/name XLSX rather than report columns; CSV=DEFECTIVE: CSV request also returns XLSX; CSV implementation is commented out,"Only candidates.status='A'; dates filter candidate creation, not flight date.","Date labels can be mistaken for flight dates although controller filters candidates.created_at. Common exporter defect: EXCEL and CSV use bitwise `|`, both emit XLSX, and export only id/name; CSV code is commented out. reportProcess catches and echoes exception text.",Model scopes may apply; effective role-by-role scope is UNVERIFIED and must be policy-tested,YES: candidate/finance/identity data must be private,Rebuild with golden query/layout/authorization parity and owner approval,CONFIRMED DB row + route + controller + Blade; permission/row-scope details UNVERIFIED,CONFIRMED DB row + route + controller + Blade; permission/row-scope details UNVERIFIED
DB_REPORT,12,Employee Report,employee-report,A,ACTIVE,browse_reports exists; execution enforcement UNVERIFIED because explicit per-route permission middleware is absent,POST reports/generate/employee-report (CONFIRMED src/routes/admin.php),VoyagerReportController::employerReport,vendor.voyager.reports.print.employer-report (CONFIRMED),Active Candidate with party/position/class/latest-exam relationships,"candidates,agents,agenciers,companiers,positions,class_groups,exam_results","Controller: agent_id,agencier_id,companier_id,from_date,to_date; DB metadata: from_date,to_date,agent_id,agencier_id,companier_id","Controller: agent_id,agencier_id,companier_id,from_date,to_date; DB metadata: from_date,to_date,agent_id,agencier_id,companier_id",SL. | APPLICANT | PASSPORT NO. | MOBILE NO. | STAGE | POSITION | AGENCY | RESUME | EMPLOYER | SCORE | NOTES,Only candidates.status='A'.,Blade-derived totals/calculations require golden-output parity; no separate controller total query unless stated,candidates.name ASC,NONE: action terminates with get()/first() or in-memory collection,YES: PDF-VIEW and PDF-DOWNLOAD via reportProcess,DEFECTIVE: returns generic id/name XLSX rather than report columns,DEFECTIVE: CSV request also returns XLSX; CSV implementation is commented out,PDF=YES: PDF-VIEW and PDF-DOWNLOAD via reportProcess; Excel=DEFECTIVE: returns generic id/name XLSX rather than report columns; CSV=DEFECTIVE: CSV request also returns XLSX; CSV implementation is commented out,Only candidates.status='A'.,"URI/name says Employee Report while action is employerReport and dataset is candidates. Common exporter defect: EXCEL and CSV use bitwise `|`, both emit XLSX, and export only id/name; CSV code is commented out. reportProcess catches and echoes exception text.",Model scopes may apply; effective role-by-role scope is UNVERIFIED and must be policy-tested,YES: candidate/finance/identity data must be private,Rebuild with golden query/layout/authorization parity and owner approval,CONFIRMED DB row + route + controller + Blade; permission/row-scope details UNVERIFIED,CONFIRMED DB row + route + controller + Blade; permission/row-scope details UNVERIFIED
DB_REPORT,13,Exam Report,exam-report,A,ACTIVE,browse_reports exists; execution enforcement UNVERIFIED because explicit per-route permission middleware is absent,POST reports/generate/exam-report (CONFIRMED src/routes/admin.php),VoyagerReportController::examReport,vendor.voyager.reports.print.exam-report (CONFIRMED),Active Candidate with agent/agencier/latest exam result,"candidates,agents,agenciers,exam_results,exams","Controller: agent_id,agencier_id,from_date,to_date; DB metadata: from_date,to_date,agent_id,agencier_id","Controller: agent_id,agencier_id,from_date,to_date; DB metadata: from_date,to_date,agent_id,agencier_id",SL. | CANDIDATE NAME | PASSPORT NO. | MOBILE NO. | ABROAD EX. | LOCAL EXP. | BODY LANGUAGE | ENGLISH | RESULT,Only candidates.status='A'.,Blade-derived totals/calculations require golden-output parity; no separate controller total query unless stated,candidates.name ASC,NONE: action terminates with get()/first() or in-memory collection,YES: PDF-VIEW and PDF-DOWNLOAD via reportProcess,DEFECTIVE: returns generic id/name XLSX rather than report columns,DEFECTIVE: CSV request also returns XLSX; CSV implementation is commented out,PDF=YES: PDF-VIEW and PDF-DOWNLOAD via reportProcess; Excel=DEFECTIVE: returns generic id/name XLSX rather than report columns; CSV=DEFECTIVE: CSV request also returns XLSX; CSV implementation is commented out,Only candidates.status='A'.,"Candidate creation dates, rather than exam dates, are filtered. Common exporter defect: EXCEL and CSV use bitwise `|`, both emit XLSX, and export only id/name; CSV code is commented out. reportProcess catches and echoes exception text.",Model scopes may apply; effective role-by-role scope is UNVERIFIED and must be policy-tested,YES: candidate/finance/identity data must be private,Rebuild with golden query/layout/authorization parity and owner approval,CONFIRMED DB row + route + controller + Blade; permission/row-scope details UNVERIFIED,CONFIRMED DB row + route + controller + Blade; permission/row-scope details UNVERIFIED
DB_REPORT,14,Flight Schedule,flight-schedule,A,ACTIVE,browse_reports exists; execution enforcement UNVERIFIED because explicit per-route permission middleware is absent,POST reports/generate/flight-schedule (CONFIRMED src/routes/admin.php),VoyagerReportController::flightSchedule,vendor.voyager.reports.print.flight-schedule (CONFIRMED),Candidate with relationships; whereHas flight date; optional in-memory rendered payment-status filter,"candidates,agents,agenciers,companiers,visa_immigrations,flight_schedules,payments","Controller: agent_id,agencier_id,from_date,to_date,flight_from_date,flight_to_date,payment_status; DB metadata: flight_from_date,flight_to_date,from_date,to_date,agencier_id,agent_id,payment_status","Controller: agent_id,agencier_id,from_date,to_date,flight_from_date,flight_to_date,payment_status; DB metadata: flight_from_date,flight_to_date,from_date,to_date,agencier_id,agent_id,payment_status",SL. | CANDIDATE NAME | PASSPORT NO. | MOBILE NO. | AGENT | AGENCY NAME | COMPANY NAME | FLIGHT NAME | FLIGHT DATE | DEPARTURE | ARRIVAL | PAYMENT STATUS,Flight date range uses related schedules; payment status is derived by CommonClass.,Blade-derived totals/calculations require golden-output parity; no separate controller total query unless stated,candidates.name ASC,NONE: action terminates with get()/first() or in-memory collection,YES: PDF-VIEW and PDF-DOWNLOAD via reportProcess,DEFECTIVE: returns generic id/name XLSX rather than report columns,DEFECTIVE: CSV request also returns XLSX; CSV implementation is commented out,PDF=YES: PDF-VIEW and PDF-DOWNLOAD via reportProcess; Excel=DEFECTIVE: returns generic id/name XLSX rather than report columns; CSV=DEFECTIVE: CSV request also returns XLSX; CSV implementation is commented out,Flight date range uses related schedules; payment status is derived by CommonClass.,"payment_status filters HTML-rendered text after loading all rows; fragile, unindexed and pagination-incompatible. Common exporter defect: EXCEL and CSV use bitwise `|`, both emit XLSX, and export only id/name; CSV code is commented out. reportProcess catches and echoes exception text.",Model scopes may apply; effective role-by-role scope is UNVERIFIED and must be policy-tested,YES: candidate/finance/identity data must be private,Rebuild with golden query/layout/authorization parity and owner approval,CONFIRMED DB row + route + controller + Blade; permission/row-scope details UNVERIFIED,CONFIRMED DB row + route + controller + Blade; permission/row-scope details UNVERIFIED
DB_REPORT,15,Teacher Schedule Report,teacher-schedule,A,ACTIVE,browse_reports exists; execution enforcement UNVERIFIED because explicit per-route permission middleware is absent,POST reports/generate/teacher-schedule (CONFIRMED src/routes/admin.php),VoyagerReportController::teacherSchedule,vendor.voyager.reports.print.teacher-schedule (CONFIRMED),ClassSchedule with teacher and classGroupRelation,"class_schedules,teachers,class_groups","Controller: teacher_id,class_group_id,week_day; DB metadata: teacher_id,class_group_id,week_day","Controller: teacher_id,class_group_id,week_day; DB metadata: teacher_id,class_group_id,week_day",SL. | TEACHER NAME & CODE | CLASS GROUP | SUBJECT | WEEK DAY | START TIME | END TIME,Returns all matching schedule rows.,Blade-derived totals/calculations require golden-output parity; no separate controller total query unless stated,"week_day ASC,start_time ASC",NONE: action terminates with get()/first() or in-memory collection,YES: PDF-VIEW and PDF-DOWNLOAD via reportProcess,DEFECTIVE: returns generic id/name XLSX rather than report columns,DEFECTIVE: CSV request also returns XLSX; CSV implementation is commented out,PDF=YES: PDF-VIEW and PDF-DOWNLOAD via reportProcess; Excel=DEFECTIVE: returns generic id/name XLSX rather than report columns; CSV=DEFECTIVE: CSV request also returns XLSX; CSV implementation is commented out,Returns all matching schedule rows.,"Textual week_day ordering may not equal calendar order; domain ordering is UNVERIFIED. Common exporter defect: EXCEL and CSV use bitwise `|`, both emit XLSX, and export only id/name; CSV code is commented out. reportProcess catches and echoes exception text.",Model scopes may apply; effective role-by-role scope is UNVERIFIED and must be policy-tested,YES: candidate/finance/identity data must be private,Rebuild with golden query/layout/authorization parity and owner approval,CONFIRMED DB row + route + controller + Blade; permission/row-scope details UNVERIFIED,CONFIRMED DB row + route + controller + Blade; permission/row-scope details UNVERIFIED
DB_REPORT,16,Exam Result Sheet Report,exam-result-sheet,A,ACTIVE,browse_reports exists; execution enforcement UNVERIFIED because explicit per-route permission middleware is absent,POST reports/generate/exam-result-sheet (CONFIRMED src/routes/admin.php),VoyagerReportController::examResultSheet,vendor.voyager.reports.print.exam-result-sheet (CONFIRMED),ExamResult with candidate/exam/classGroup,"exam_results,candidates,exams,class_groups","Controller: exam_id,class_group_id,result; DB metadata: exam_id,class_group_id,result","Controller: exam_id,class_group_id,result; DB metadata: exam_id,class_group_id,result",SL. | Candidate | Exam | Group | Abroad Exp | Local Exp | BL | Skill | English | Result,Result filter is exact legacy value.,Blade-derived totals/calculations require golden-output parity; no separate controller total query unless stated,created_at DESC,NONE: action terminates with get()/first() or in-memory collection,YES: PDF-VIEW and PDF-DOWNLOAD via reportProcess,DEFECTIVE: returns generic id/name XLSX rather than report columns,DEFECTIVE: CSV request also returns XLSX; CSV implementation is commented out,PDF=YES: PDF-VIEW and PDF-DOWNLOAD via reportProcess; Excel=DEFECTIVE: returns generic id/name XLSX rather than report columns; CSV=DEFECTIVE: CSV request also returns XLSX; CSV implementation is commented out,Result filter is exact legacy value.,"No required exam guard; an unfiltered request can export every result. Common exporter defect: EXCEL and CSV use bitwise `|`, both emit XLSX, and export only id/name; CSV code is commented out. reportProcess catches and echoes exception text.",Model scopes may apply; effective role-by-role scope is UNVERIFIED and must be policy-tested,YES: candidate/finance/identity data must be private,Rebuild with golden query/layout/authorization parity and owner approval,CONFIRMED DB row + route + controller + Blade; permission/row-scope details UNVERIFIED,CONFIRMED DB row + route + controller + Blade; permission/row-scope details UNVERIFIED
DB_REPORT,17,Candidate Resume Report,candidate-resume-report,A,ACTIVE,browse_reports exists; execution enforcement UNVERIFIED because explicit per-route permission middleware is absent,POST reports/generate/candidate-resume-report (CONFIRMED src/routes/admin.php),VoyagerReportController::candidateResumeReport,vendor.voyager.reports.print.candidate-resume-report (CONFIRMED),Shared buildCandidateQuery with eager-loaded relationships,"candidates,agents,agenciers,companiers,positions,class_groups,visa_immigrations,flight_schedules","Controller: agent_id,agencier_id,companier_id,position_id,class_group_id,gender,status,from_date,to_date; DB metadata: from_date,to_date,agent_id,agencier_id,companier_id,position_id,class_group_id,gender,status","Controller: agent_id,agencier_id,companier_id,position_id,class_group_id,gender,status,from_date,to_date; DB metadata: from_date,to_date,agent_id,agencier_id,companier_id,position_id,class_group_id,gender,status",SL. | APPLICANT (NAME & CODE) | PASSPORT NO. | RESUME / CV | DRIVE LINK | ABROAD EXP | LOCAL EXP | REMARKS,One resume section per matching candidate.,Blade-derived totals/calculations require golden-output parity; no separate controller total query unless stated,candidates.name ASC,NONE: action terminates with get()/first() or in-memory collection,YES: PDF-VIEW and PDF-DOWNLOAD via reportProcess,DEFECTIVE: returns generic id/name XLSX rather than report columns,DEFECTIVE: CSV request also returns XLSX; CSV implementation is commented out,PDF=YES: PDF-VIEW and PDF-DOWNLOAD via reportProcess; Excel=DEFECTIVE: returns generic id/name XLSX rather than report columns; CSV=DEFECTIVE: CSV request also returns XLSX; CSV implementation is commented out,One resume section per matching candidate.,"Unbounded get() can generate very large resume exports. Common exporter defect: EXCEL and CSV use bitwise `|`, both emit XLSX, and export only id/name; CSV code is commented out. reportProcess catches and echoes exception text.",Model scopes may apply; effective role-by-role scope is UNVERIFIED and must be policy-tested,YES: candidate/finance/identity data must be private,Rebuild with golden query/layout/authorization parity and owner approval,CONFIRMED DB row + route + controller + Blade; permission/row-scope details UNVERIFIED,CONFIRMED DB row + route + controller + Blade; permission/row-scope details UNVERIFIED
