path,line,numeric_role_ids,context,replacement
src/app/Helpers/CommonClass.php,415,106,"$owners = User::where('role_id', 106)->get();",Replace with stable role key/policy check; preserve current behavior until parity tests pass.
src/app/Http/Controllers/Admin/VoyagerAgencierController.php,20,108,private $role_id = 108;,Replace with stable role key/policy check; preserve current behavior until parity tests pass.
src/app/Http/Controllers/Admin/VoyagerAgentController.php,21,101,private $role_id = 101;,Replace with stable role key/policy check; preserve current behavior until parity tests pass.
src/app/Http/Controllers/Admin/VoyagerAjaxController.php,110,101,if(CommonClass::user()->role_id == 101){ //subagent payment approval by agent,Replace with stable role key/policy check; preserve current behavior until parity tests pass.
src/app/Http/Controllers/Admin/VoyagerAjaxController.php,196,109,if(CommonClass::user()->role_id == 109){,Replace with stable role key/policy check; preserve current behavior until parity tests pass.
src/app/Http/Controllers/Admin/VoyagerAjaxController.php,257,109,if(CommonClass::user()->role_id == 109){// for subagent no need further process,Replace with stable role key/policy check; preserve current behavior until parity tests pass.
src/app/Http/Controllers/Admin/VoyagerAjaxController.php,301,109,if(CommonClass::user()->role_id == 109){,Replace with stable role key/policy check; preserve current behavior until parity tests pass.
src/app/Http/Controllers/Admin/VoyagerCandidatesController.php,26,102,private $role_id = 102;,Replace with stable role key/policy check; preserve current behavior until parity tests pass.
src/app/Http/Controllers/Admin/VoyagerCompanierController.php,20,107,private $role_id = 107;,Replace with stable role key/policy check; preserve current behavior until parity tests pass.
src/app/Http/Controllers/Admin/VoyagerEmployeeController.php,20,104,private $role_id = 104;,Replace with stable role key/policy check; preserve current behavior until parity tests pass.
src/app/Http/Controllers/Admin/VoyagerEmployerController.php,20,105,private $role_id = 105;,Replace with stable role key/policy check; preserve current behavior until parity tests pass.
src/app/Http/Controllers/Admin/VoyagerMyPanelController.php,640,101,if(CommonClass::user()->role_id == 101){,Replace with stable role key/policy check; preserve current behavior until parity tests pass.
src/app/Http/Controllers/Admin/VoyagerMyPanelController.php,643,109,}elseif(CommonClass::user()->role_id == 109){,Replace with stable role key/policy check; preserve current behavior until parity tests pass.
